subject,sona_id,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments
kl6b9clh8vf,13579,28/02/2022@11:33:41,null,1792,1120,1091,1052,19,female,white,not_hispanic,corrected,"I felt like choosing the safe deck for majority of them, some of them (usually the decreasing ones) I just went for the risky one not really for a particular reason. I felt more comfortable going with the safe ones because it made the experiment feel faster, because I didn't really have to think about __ or ___ just __. "
l6lj6g998mn,13381,28/02/2022@10:12:46,null,1440,900,1304,1054,20,female,asian,not_hispanic,normal,"I preferred the safe deck, only one outcome most of the time. When all outcomes were increase in objects; I had a tendency to still on the safer side. It was a really visual thing for me and mental."
nl0dy3c8qb,13852,21/02/2022@16:36:42,null,1536,864,1446,1061,19,female,black,hispanic,corrected,"I have drawn more to whichever decreased the deck the most. Every time I saw the risky deck, if it was a higher number of green object decreases, I chose it because even with the possibility of the 0 (zero) change, it was better than nothing. I chose the safe deck every time there were red numbers with plus signs in the risky deck."
ntawn2m67tm,13464,11/03/2022@13:48:04,null,1440,900,1440,1054,19,male,white,not_hispanic,normal,I preferred the risk when the numbers were negative. I preferred to be safe when they were adding squares.
p1t0anqikn,13410,07/03/2022@23:24:46,null,2560,1440,2560,1321,20,male,no_response,hispanic,corrected,I just selected the left one because I wanted to complete it as fast as possible. 
p241nqfbh38,13441,24/02/2022@22:15:26,null,1440,900,1439,1052,19,male,white,not_hispanic,normal,
p6unmrn8teb,13616,07/03/2022@21:46:40,null,1536,864,1519,1053,18,male,white,not_hispanic,normal,I preferred  green objects with plus signs as a 50/50 because there was nothing to lose.
pbglmhru52,13851,06/03/2022@23:21:40,null,1440,900,1440,1052,19,female,white,not_hispanic,normal,
pf2wq4h2mm8,13627,28/02/2022@15:34:38,null,1536,864,1519,1061,18,male,"white,other",not_hispanic,normal,"Neither deck seemed to have a significant impact on my ability to find the green and red rectangles, but the compactness/arrangement of the rectangles did (the more spread out they were, the slower I felt finding the red/green rectangle)."
q1zlm19xp2d,13594,07/03/2022@08:46:03,null,1536,864,1519,1061,21,female,asian,not_hispanic,impaired,
q46txylsev,13850,28/02/2022@21:35:01,null,1440,900,1440,1054,19,female,white,not_hispanic,normal,
qv9plr7zarj,13458,28/02/2022@10:07:21,null,1440,900,1440,1054,18,female,asian,not_hispanic,corrected,I preferred the safe deck when all outcomes were increases in objects. When all outcomes were decreases in objects I preferred the risky deck because the worst outcome was no decrease in objects.
rcqmhpgwpk,13522,22/02/2022@11:42:13,null,1280,720,1263,1053,20,no_answer,no_response,no_response,no_response,"I think it all depended for me what the number was.  If it were in a deck of + 14 or +7 vice versa I preferred to choose the option with + or - 14.  There would not have been added that many blocks.  However, if it were +14 or +28 vice versa I chose usually the block with + or - 14.  A lot more blocks are added with +28 making it harder to find the correct block."
teftrifotjr,13509,07/03/2022@09:22:32,null,1440,900,1440,1054,19,male,no_response,hispanic,corrected,"I almost always chose the risky deck. the best strategy was to choose the risky deck whenever it was green numbers since you'd still be getting less objects, but choosing the risky deck can take away even more. if it doesn't then you'd just get the safe deck amount taken off"
temuhwmaoc,12450,11/03/2022@11:58:11,null,1440,900,1279,1054,21,female,white,not_hispanic,corrected,Random decisions
ujyz2qdi7ti,13533,08/03/2022@22:48:33,null,1920,1080,1902,1049,18,non-binary,white,not_hispanic,corrected,"I preferred when the variance was in the negative direction since it made it easier to find the desired object in a timely manner, but felt equally comfortable with variance in both directions due to confidence in finding the object in a similar time regardless of sample size. "
utap6rlri6p,13521,06/03/2022@11:40:40,null,1440,900,1440,1055,19,female,white,not_hispanic,corrected,"I usually picked the risky tech when the numbers were minus, but I picked the safe deck when the number was plus. "
uv856jwa8zd,13320,28/02/2022@22:53:19,null,1280,800,1221,1054,18,male,other,hispanic,normal,
v3usz3xybf8,13511,02/03/2022@16:14:58,null,1536,864,1536,1061,19,female,white,not_hispanic,normal,I felt the safest picking the high numbers when they had minus signs. I usually chose the safer option when it came to adding. 
vrhlfind89p,12554,10/03/2022@21:40:19,null,1536,960,1519,1053,20,female,white,not_hispanic,corrected,
w3m8e1zfumq,13523,28/02/2022@17:07:38,null,1440,900,1440,1052,18,female,white,not_hispanic,normal,"I always chose the safe option because it would be the better outcome, rather than betting high or low for an even better outcome. I played it safe."
we6nntq8xk,13411,03/03/2022@13:57:07,null,1440,900,1080,1054,19,male,white,not_hispanic,normal,green numbers with plus signs because I thought I had more success choosing those.
y4cddeq0yyb,13314,06/03/2022@12:36:05,null,820,1180,1180,1080,18,female,no_response,hispanic,corrected,I just clicked on D it was green and f if it was red. 
yxgqd3862w,13514,01/03/2022@14:17:55,null,1440,900,1440,1054,22,male,asian,not_hispanic,corrected,"I'd take risk on ones that were in green, but no as much for those in red"
