subject,sona_id,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments
osd3oqlsobc,13319,20/03/2022@16:48:57,null,1440,900,1369,1096,19,female,white,not_hispanic,normal,
q46txylsev,13850,28/02/2022@21:35:01,null,1440,900,1440,1054,19,female,white,not_hispanic,normal,
ntawn2m67tm,13464,11/03/2022@13:48:04,null,1440,900,1440,1054,19,male,white,not_hispanic,normal,I preferred the risk when the numbers were negative. I preferred to be safe when they were adding squares.
drd7e8to1vi,13461,21/03/2022@12:46:27,null,1792,1120,1462,1094,18,female,white,not_hispanic,corrected,"I found that if I focused on making a decision, it was harder to be accurate in finding the red/green block, so I chose at random."
sdpxaszw4l,13479,29/03/2022@20:48:43,null,1600,900,1583,1125,18,male,black,not_hispanic,normal,"Not really, I went for the risky option majority of the time. This is most likely due to my trust in my eyesight."
vrhlfind89p,12554,10/03/2022@21:40:19,null,1536,960,1519,1053,20,female,white,not_hispanic,corrected,
28qjid064re,13478,22/03/2022@11:29:08,null,1440,900,1112,1094,19,male,white,not_hispanic,normal,I stuck to the safer deck most of the time because it gave me a smaller range of the amount of objects I would have to look through.
pf2wq4h2mm8,13627,28/02/2022@15:34:38,null,1536,864,1519,1061,18,male,"white,other",not_hispanic,normal,"Neither deck seemed to have a significant impact on my ability to find the green and red rectangles, but the compactness/arrangement of the rectangles did (the more spread out they were, the slower I felt finding the red/green rectangle)."
q1zlm19xp2d,13594,07/03/2022@08:46:03,null,1536,864,1519,1061,21,female,asian,not_hispanic,impaired,
we6nntq8xk,13411,03/03/2022@13:57:07,null,1440,900,1080,1054,19,male,white,not_hispanic,normal,green numbers with plus signs because I thought I had more success choosing those.
nl0dy3c8qb,13852,21/02/2022@16:36:42,null,1536,864,1446,1061,19,female,black,hispanic,corrected,"I have drawn more to whichever decreased the deck the most. Every time I saw the risky deck, if it was a higher number of green object decreases, I chose it because even with the possibility of the 0 (zero) change, it was better than nothing. I chose the safe deck every time there were red numbers with plus signs in the risky deck."
dfo17tvc6p9,13609,22/02/2022@00:03:26,null,1536,864,1519,1061,18,male,other,hispanic,normal,"No, it was not difficult I ended up finding a pattern after the second block. Since then my only mistakes were based on me pressing it too fast before analyzing the color blocks. "
fpy3pvbp8n9,13436,05/03/2022@10:59:14,null,1728,1117,1713,1054,18,female,"white,asian",not_hispanic,corrected,"At first, I went with the safer deck, but when I tried the risky deck, I found that it was actually not as hard as I thought it would be. I think I liked when the outcomes were decreases in objects, but the increases in objects option wasn't too much harder."
p241nqfbh38,13441,24/02/2022@22:15:26,null,1440,900,1439,1052,19,male,white,not_hispanic,normal,
vvn38yd1ks,13370,22/03/2022@11:06:40,null,1280,800,1263,1099,18,female,asian,not_hispanic,corrected,"When presented with the two decks, I felt more inclined to select the risky deck when the objects decrease and more inclined to select the safe deck when the objects increase."
mv5ouusoquq,13389,21/03/2022@23:21:52,null,1440,900,1440,1094,18,male,white,not_hispanic,normal,
z7dl4s7442n,13419,21/03/2022@16:15:32,null,1440,900,1440,1097,18,male,white,not_hispanic,normal,I usually went with the risky deck because I valued the very easy choices over the other ones. I just liked taking the risk and when it paid off I felt good about my decision. 
uvvvohhs1f,13526,24/03/2022@20:28:53,null,1680,1050,1680,1122,22,female,"white,asian",not_hispanic,corrected,If I thought the number of them was easy enough to find the red/green I would take the risk. Sometimes I got bored and wanted to just for fun as it progressed.
w3m8e1zfumq,13523,28/02/2022@17:07:38,null,1440,900,1440,1052,18,female,white,not_hispanic,normal,"I always chose the safe option because it would be the better outcome, rather than betting high or low for an even better outcome. I played it safe."
kze1svl8wm,13524,29/03/2022@21:37:30,null,1440,900,1440,1097,18,female,asian,not_hispanic,corrected,"I did not have a pattern to which risk level deck I chose. Towards the middle of the experiment, I found myself mindlessly choosing the risk level because the difficult level was also based on my perspective. For example, a +28 deck was easier than a +14 deck because I was already looking at one place."
p6unmrn8teb,13616,07/03/2022@21:46:40,null,1536,864,1519,1053,18,male,white,not_hispanic,normal,I preferred  green objects with plus signs as a 50/50 because there was nothing to lose.
pbglmhru52,13851,06/03/2022@23:21:40,null,1440,900,1440,1052,19,female,white,not_hispanic,normal,
9nv0bqwdum6,13620,21/03/2022@11:32:57,null,1504,1003,1487,1123,18,male,black,hispanic,corrected,"I mostly chose safe decks with an occasional accidental risky deck. I would say less was more difficult, since with more you have more options to ""Scan"" everything."
qv9plr7zarj,13458,28/02/2022@10:07:21,null,1440,900,1440,1054,18,female,asian,not_hispanic,corrected,I preferred the safe deck when all outcomes were increases in objects. When all outcomes were decreases in objects I preferred the risky deck because the worst outcome was no decrease in objects.
0t2cabu4h4y,13617,20/03/2022@16:18:35,null,1280,720,1263,1099,18,male,white,not_hispanic,corrected,I generally preferred the risky deck since it provided more of a rush.
07iuiut1t9rh,13424,06/03/2022@00:34:56,null,1440,900,1440,1055,19,male,white,not_hispanic,normal,No preference
9iomrqckeys,13590,20/03/2022@20:18:28,null,1440,900,1440,1097,18,female,asian,not_hispanic,impaired,I chose the safe deck more often 
oiwttdue7y,13451,23/03/2022@13:03:59,null,1440,900,1440,1094,19,female,asian,not_hispanic,normal,"Yes, when there was an increase in objects I preferred the safe deck while when there was a decrease I preferred the risky deck. "
